Lead City,Sales Date,Sales Week,Leads Created,Leads accepted,Qualify_Confirm_Lead,Select_Partner,Install_Request,Installed
City 1,2/11/17,30-10-2017,19,5,0,0,0,0
City 1,2/11/17,30-10-2017,73,33,30,28,28,9
City 1,3/11/17,30-10-2017,11,10,4,4,3,2
City 1,3/11/17,30-10-2017,80,42,38,38,38,18
City 1,4/11/17,30-10-2017,4,4,2,2,2,2
City 1,4/11/17,30-10-2017,92,63,65,65,63,47
City 1,5/11/17,30-10-2017,4,2,2,2,1,1
City 1,5/11/17,30-10-2017,77,57,57,55,54,38
City 1,6/11/17,6/11/17,5,2,2,2,2,2
City 1,6/11/17,6/11/17,46,34,33,33,34,31
City 1,7/11/17,6/11/17,5,2,1,1,1,1
City 1,7/11/17,6/11/17,41,33,33,32,32,28
City 1,8/11/17,6/11/17,9,5,5,5,5,3
City 1,8/11/17,6/11/17,59,43,42,42,40,34
City 1,9/11/17,6/11/17,43,34,33,32,32,18
City 1,9/11/17,6/11/17,5,2,0,0,0,0
City 1,10/11/17,6/11/17,4,3,3,3,3,0
City 1,10/11/17,6/11/17,47,27,26,25,25,31
City 1,11/11/17,6/11/17,1,1,1,1,1,0
City 1,11/11/17,6/11/17,59,45,46,46,46,30
City 1,11/11/17,6/11/17,1,1,1,1,1,1
City 1,12/11/17,6/11/17,3,3,3,3,3,2
City 1,12/11/17,6/11/17,48,42,42,42,41,32
City 1,12/11/17,6/11/17,9,3,3,2,2,2
City 1,13-11-2017,13-11-2017,1,1,1,1,1,1
City 1,13-11-2017,13-11-2017,35,28,28,28,28,19
City 1,14-11-2017,13-11-2017,10,8,7,7,7,3
City 1,14-11-2017,13-11-2017,62,41,41,42,42,37
City 1,14-11-2017,13-11-2017,9,4,4,5,5,4
City 1,15-11-2017,13-11-2017,3,3,3,3,3,5
City 1,15-11-2017,13-11-2017,78,32,28,28,28,24
City 1,15-11-2017,13-11-2017,6,4,4,4,4,4
City 1,16-11-2017,13-11-2017,24,7,7,7,7,0
City 1,16-11-2017,13-11-2017,85,35,32,32,32,24
City 1,16-11-2017,13-11-2017,1,0,0,0,0,0
City 1,17-11-2017,13-11-2017,23,3,2,2,2,0
City 1,17-11-2017,13-11-2017,118,57,33,31,31,32
City 1,17-11-2017,13-11-2017,4,2,2,2,2,2
City 1,18-11-2017,13-11-2017,11,1,1,1,1,5
City 1,18-11-2017,13-11-2017,132,48,35,35,35,22
City 1,18-11-2017,13-11-2017,10,4,4,3,3,2
City 1,19-11-2017,13-11-2017,15,2,2,2,2,1
City 1,19-11-2017,13-11-2017,150,59,36,35,34,32
City 1,19-11-2017,13-11-2017,2,2,2,2,2,2
City 1,20-11-2017,20-11-2017,14,2,2,2,2,3
City 1,20-11-2017,20-11-2017,57,33,30,30,30,31
City 1,20-11-2017,20-11-2017,1,1,1,1,1,1
City 1,21-11-2017,20-11-2017,15,5,1,1,1,0
City 1,21-11-2017,20-11-2017,104,45,13,14,13,14
City 1,21-11-2017,20-11-2017,1,0,0,0,0,0
City 1,22-11-2017,20-11-2017,8,3,3,3,3,1
City 1,22-11-2017,20-11-2017,106,67,33,33,34,12
City 1,22-11-2017,20-11-2017,2,2,2,2,2,2
City 1,23-11-2017,20-11-2017,9,1,1,0,0,2
City 1,23-11-2017,20-11-2017,105,66,32,31,31,24
City 1,24-11-2017,20-11-2017,8,6,3,3,3,4
City 1,24-11-2017,20-11-2017,74,44,31,30,30,22
City 1,24-11-2017,20-11-2017,3,2,2,2,2,2
City 1,25-11-2017,20-11-2017,14,7,6,6,6,1
City 1,25-11-2017,20-11-2017,113,58,41,41,40,34
City 1,25-11-2017,20-11-2017,6,3,3,3,3,3
City 1,26-11-2017,20-11-2017,16,6,4,4,4,3
City 1,26-11-2017,20-11-2017,176,94,33,33,33,22
City 1,26-11-2017,20-11-2017,3,2,2,2,2,2
City 1,27-11-2017,27-11-2017,3,3,3,3,3,4
City 1,27-11-2017,27-11-2017,100,39,29,29,29,22
City 1,28-11-2017,27-11-2017,0,0,0,0,0,3
City 1,28-11-2017,27-11-2017,119,60,40,39,39,25
City 1,28-11-2017,27-11-2017,1,1,1,1,1,1
City 1,29-11-2017,27-11-2017,0,0,0,0,0,1
City 1,29-11-2017,27-11-2017,60,38,29,28,28,21
City 1,29-11-2017,27-11-2017,1,1,1,1,1,1
City 1,30-11-2017,27-11-2017,2,2,1,1,1,2
City 1,30-11-2017,27-11-2017,88,53,43,42,42,24
City 1,1/12/17,27-11-2017,100,45,36,37,37,24
City 1,1/12/17,27-11-2017,1,1,1,1,1,1
City 1,2/12/17,27-11-2017,4,4,2,2,2,3
City 1,2/12/17,27-11-2017,117,64,62,61,61,35
City 1,3/12/17,27-11-2017,4,4,2,2,2,3
City 1,3/12/17,27-11-2017,128,75,67,65,65,55
City 1,4/12/17,4/12/17,2,2,1,1,1,1
City 1,4/12/17,4/12/17,51,45,37,36,36,30
City 1,5/12/17,4/12/17,2,2,1,1,1,1
City 1,5/12/17,4/12/17,69,40,34,33,33,29
City 1,5/12/17,4/12/17,2,2,2,2,2,2
City 1,6/12/17,4/12/17,5,5,3,3,3,3
City 1,6/12/17,4/12/17,80,54,31,31,31,32
City 1,6/12/17,4/12/17,7,5,4,3,3,3
City 1,7/12/17,4/12/17,50,36,30,30,29,31
City 1,7/12/17,4/12/17,1,1,0,0,0,0
City 1,8/12/17,4/12/17,96,77,55,55,51,28
City 1,9/12/17,4/12/17,4,4,2,2,2,2
City 1,9/12/17,4/12/17,101,90,63,63,63,47
City 1,9/12/17,4/12/17,4,3,3,3,3,1
City 1,10/12/17,4/12/17,110,91,65,65,65,60
City 1,10/12/17,4/12/17,4,3,2,2,2,2
City 1,11/12/17,11/12/17,2,2,1,1,1,0
City 1,11/12/17,11/12/17,79,53,32,32,32,25
City 1,11/12/17,11/12/17,3,3,3,3,3,3
City 1,12/12/17,11/12/17,2,2,1,1,1,2
City 1,12/12/17,11/12/17,128,92,39,39,39,26
